Timestamp,Test_User_ID,User_Role,Prototype_Link,Task_Assigned,Task_Completed_Yes_No,Ease_of_Use_1_5,Usefulness_1_5,Confusing_Screen_or_Step,Most_Useful_Feature,Suggested_Improvement,Requirement_Affected
2026-07-22,U057,First-year Student,HallPass Prototype,Understand HallPass homepage,No,3,5,Feature card wording,Feature cards,"The main purpose was clear, although the feature card wording could be shorter.","FR-01, FR-02"
2026-07-22,U058,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,5,4,,Dormitory review cards,Dormitory reviews were easy to browse and compare.,"FR-04, FR-06, FR-07"
2026-07-22,U059,Exchange Student,HallPass Prototype,Browse cafeteria reviews,Yes,4,4,,Search and filter,The ratings and descriptions were useful for choosing where to eat.,"FR-05, FR-06, FR-07"
2026-07-22,U060,International Student,HallPass Prototype,Create an account or sign in,Yes,4,4,Login and signup navigation,Login form,The password guidance should be displayed more clearly.,FR-03
2026-07-22,U061,First-year Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,5,5,Submission confirmation,Rating selection,The rating and category fields need clearer instructions.,"FR-08, FR-10, FR-14"
2026-07-22,U062,First-year Student,HallPass Prototype,Read the campus survival guide,No,1,3,Guide navigation,Practical campus tips,Moving between guide sections could be easier.,FR-09
2026-07-22,U063,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,4,4,Statistic labels,Dashboard summary,"The dashboard was useful, but the statistic labels should be clearer.",FR-11
2026-07-22,U064,First-year Student,HallPass Prototype,Understand HallPass homepage,Yes,3,3,Navigation labels,Feature cards,"The main purpose was clear, although the feature card wording could be shorter.","FR-01, FR-02"
2026-07-22,U065,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,4,4,,Review detail page,I could find and open a dormitory review without assistance.,"FR-04, FR-06, FR-07"
2026-07-22,U066,First-year Student,HallPass Prototype,Browse cafeteria reviews,Yes,4,4,Opening review details,Cafeteria review cards,"The cafeteria reviews were useful, but the category label could be clearer.","FR-05, FR-06, FR-07"
2026-07-22,U067,International Student,HallPass Prototype,Create an account or sign in,Yes,3,5,Password guidance,Signup form,Switching between login and signup could be more obvious.,FR-03
2026-07-22,U068,International Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,5,4,,Write Review form,"The category, rating, and review fields were easy to complete.","FR-08, FR-10, FR-14"
2026-07-22,U069,Exchange Student,HallPass Prototype,Read the campus survival guide,Yes,5,5,Topic headings,Practical campus tips,The guide headings could be more descriptive.,FR-09
2026-07-22,U070,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,4,4,,Review statistics,The dashboard clearly displayed review statistics and moderation information.,FR-11
2026-07-22,U071,First-year Student,HallPass Prototype,Understand HallPass homepage,Yes,5,5,Navigation labels,Feature cards,"The homepage was understandable, but one navigation label could be clearer.","FR-01, FR-02"
2026-07-22,U072,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,5,4,Dormitory category label,Search and filter,The dormitory category label could be more noticeable.,"FR-04, FR-06, FR-07"
2026-07-22,U073,International Student,HallPass Prototype,Browse cafeteria reviews,Yes,5,5,,Review detail page,I could quickly find a cafeteria review and read the full details.,"FR-05, FR-06, FR-07"
2026-07-22,U074,International Student,HallPass Prototype,Create an account or sign in,Yes,4,4,,Login form,The login page matched the design of the other HallPass pages.,FR-03
2026-07-22,U075,First-year Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,5,4,,Rating selection,The form requested only appropriate information and protected student privacy.,"FR-08, FR-10, FR-14"
2026-07-23,U076,Exchange Student,HallPass Prototype,Read the campus survival guide,Yes,5,4,,Practical campus tips,The practical campus tips were relevant to first-year and international students.,FR-09
2026-07-23,U077,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,5,4,,Review statistics,The administrative summary was easy to understand.,FR-11
2026-07-23,U078,Senior Student,HallPass Prototype,Understand HallPass homepage,Yes,5,5,Navigation labels,Main navigation,"The main purpose was clear, although the feature card wording could be shorter.","FR-01, FR-02"
2026-07-23,U079,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,5,5,,Search and filter,Dormitory reviews were easy to browse and compare.,"FR-04, FR-06, FR-07"
2026-07-23,U080,Senior Student,HallPass Prototype,Browse cafeteria reviews,Yes,4,5,Search label,Cafeteria review cards,The rating display could be separated more clearly from the review text.,"FR-05, FR-06, FR-07"
2026-07-23,U081,First-year Student,HallPass Prototype,Create an account or sign in,Yes,4,4,Login and signup navigation,Signup form,The password guidance should be displayed more clearly.,FR-03
2026-07-23,U082,First-year Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,4,4,Submission confirmation,Submission confirmation,The rating and category fields need clearer instructions.,"FR-08, FR-10, FR-14"
2026-07-23,U083,First-year Student,HallPass Prototype,Read the campus survival guide,No,2,5,Topic headings,Practical campus tips,Moving between guide sections could be easier.,FR-09
2026-07-23,U084,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,4,4,,Moderation information,The dashboard layout made the main statistics easy to identify.,FR-11
2026-07-23,U085,International Student,HallPass Prototype,Understand HallPass homepage,Yes,5,5,,Homepage overview,The homepage clearly explained HallPass and its purpose.,"FR-01, FR-02"
2026-07-23,U086,International Student,HallPass Prototype,Browse dormitory reviews,Yes,5,5,Search label,Review detail page,"The dormitory reviews were useful, but the search label should be clearer.","FR-04, FR-06, FR-07"
2026-07-23,U087,Exchange Student,HallPass Prototype,Browse cafeteria reviews,Yes,4,5,,Review detail page,The ratings and descriptions were useful for choosing where to eat.,"FR-05, FR-06, FR-07"
2026-07-23,U088,First-year Student,HallPass Prototype,Create an account or sign in,Yes,4,5,Login field labels,Signup form,"The login worked, but the confirmation message should be clearer.",FR-03
2026-07-23,U089,Senior Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,5,3,,Form validation,"The category, rating, and review fields were easy to complete.","FR-08, FR-10, FR-14"
2026-07-23,U090,Exchange Student,HallPass Prototype,Read the campus survival guide,Yes,4,5,,Campus survival guide,The campus survival guide provided useful information for new students.,FR-09
2026-07-23,U091,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,5,5,,Review statistics,The dashboard clearly displayed review statistics and moderation information.,FR-11
2026-07-23,U092,International Student,HallPass Prototype,Understand HallPass homepage,Yes,4,4,Navigation labels,Feature cards,"The homepage was understandable, but one navigation label could be clearer.","FR-01, FR-02"
2026-07-23,U093,Senior Student,HallPass Prototype,Browse dormitory reviews,Yes,5,5,,Search and filter,The rating and review details helped me understand the accommodation options.,"FR-04, FR-06, FR-07"
2026-07-23,U094,First-year Student,HallPass Prototype,Browse cafeteria reviews,Yes,5,5,Rating display,Search and filter,"The search worked, although the filter wording should be more noticeable.","FR-05, FR-06, FR-07"
2026-07-23,U095,International Student,HallPass Prototype,Create an account or sign in,No,3,3,Password guidance,Signup form,"The login worked, but the confirmation message should be clearer.",FR-03
2026-07-23,U096,International Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,4,5,Rating selection,Submission confirmation,"The review was submitted, but the confirmation message should be more noticeable.","FR-08, FR-10, FR-14"
2026-07-23,U097,International Student,HallPass Prototype,Read the campus survival guide,Yes,5,5,Guide topic organization,Campus survival guide,The guide headings could be more descriptive.,FR-09
2026-07-23,U098,Staff Administrator,HallPass Prototype,View the administrative dashboard,Yes,4,5,,Moderation information,The dashboard clearly displayed review statistics and moderation information.,FR-11
2026-07-23,U099,International Student,HallPass Prototype,Understand HallPass homepage,Yes,3,5,,Main navigation,The main features were easy to identify from the homepage.,"FR-01, FR-02"
2026-07-23,U100,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,4,5,,Dormitory review cards,Dormitory reviews were easy to browse and compare.,"FR-04, FR-06, FR-07"
2026-07-24,U101,First-year Student,HallPass Prototype,Browse cafeteria reviews,Yes,4,4,,Search and filter,The ratings and descriptions were useful for choosing where to eat.,"FR-05, FR-06, FR-07"
2026-07-24,U102,International Student,HallPass Prototype,Create an account or sign in,No,4,2,Login and signup navigation,Signup form,Switching between login and signup could be more obvious.,FR-03
2026-07-24,U103,International Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,5,5,,Form validation,The review form was clear and I submitted the review successfully.,"FR-08, FR-10, FR-14"
2026-07-24,U104,Exchange Student,HallPass Prototype,Read the campus survival guide,Yes,4,5,Guide navigation,Campus survival guide,Moving between guide sections could be easier.,FR-09
2026-07-24,U105,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,4,5,,Moderation information,The administrative summary was easy to understand.,FR-11
2026-07-24,U106,First-year Student,HallPass Prototype,Understand HallPass homepage,Yes,4,4,,Main navigation,The homepage clearly explained HallPass and its purpose.,"FR-01, FR-02"
2026-07-24,U107,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,4,5,,Review detail page,Dormitory reviews were easy to browse and compare.,"FR-04, FR-06, FR-07"
2026-07-24,U108,Exchange Student,HallPass Prototype,Browse cafeteria reviews,No,2,4,Rating display,Review detail page,"The search worked, although the filter wording should be more noticeable.","FR-05, FR-06, FR-07"
2026-07-24,U109,Exchange Student,HallPass Prototype,Create an account or sign in,Yes,5,5,,Authentication navigation,The login page matched the design of the other HallPass pages.,FR-03
2026-07-24,U110,International Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,3,5,,Submission confirmation,"The category, rating, and review fields were easy to complete.","FR-08, FR-10, FR-14"
2026-07-24,U111,International Student,HallPass Prototype,Read the campus survival guide,Yes,4,5,,Campus survival guide,The guide topics were clear and easy to browse.,FR-09
2026-07-24,U112,Staff Administrator,HallPass Prototype,View the administrative dashboard,Yes,4,4,,Review statistics,The dashboard layout made the main statistics easy to identify.,FR-11
2026-07-24,U113,First-year Student,HallPass Prototype,Understand HallPass homepage,Yes,3,5,,Feature cards,The main features were easy to identify from the homepage.,"FR-01, FR-02"
2026-07-24,U114,Exchange Student,HallPass Prototype,Browse dormitory reviews,No,1,2,Opening review details,Dormitory review cards,"The dormitory reviews were useful, but the search label should be clearer.","FR-04, FR-06, FR-07"
2026-07-24,U115,Senior Student,HallPass Prototype,Browse cafeteria reviews,Yes,4,5,Opening review details,Search and filter,"The cafeteria reviews were useful, but the category label could be clearer.","FR-05, FR-06, FR-07"
2026-07-24,U116,Senior Student,HallPass Prototype,Create an account or sign in,No,3,4,Login and signup navigation,Signup form,"The login worked, but the confirmation message should be clearer.",FR-03
2026-07-24,U117,International Student,HallPass Prototype,Submit a dormitory or cafeteria review,No,2,3,Rating selection,Write Review form,The rating and category fields need clearer instructions.,"FR-08, FR-10, FR-14"
2026-07-24,U118,International Student,HallPass Prototype,Read the campus survival guide,Yes,5,3,,Practical campus tips,The guide topics were clear and easy to browse.,FR-09
2026-07-24,U119,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,5,5,,Review statistics,The dashboard layout made the main statistics easy to identify.,FR-11
2026-07-24,U120,Senior Student,HallPass Prototype,Understand HallPass homepage,Yes,4,4,,Homepage overview,The main features were easy to identify from the homepage.,"FR-01, FR-02"
2026-07-24,U121,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,4,5,,Search and filter,The rating and review details helped me understand the accommodation options.,"FR-04, FR-06, FR-07"
2026-07-24,U122,International Student,HallPass Prototype,Browse cafeteria reviews,Yes,3,4,,Cafeteria review cards,I could quickly find a cafeteria review and read the full details.,"FR-05, FR-06, FR-07"
2026-07-24,U123,International Student,HallPass Prototype,Create an account or sign in,Yes,4,5,,Authentication navigation,The simulated login and signup flow was simple to complete.,FR-03
2026-07-24,U124,Senior Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,5,5,,Write Review form,The form requested only appropriate information and protected student privacy.,"FR-08, FR-10, FR-14"
2026-07-24,U125,International Student,HallPass Prototype,Read the campus survival guide,Yes,3,3,,Campus survival guide,The guide topics were clear and easy to browse.,FR-09
2026-07-25,U126,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,5,5,,Review statistics,The dashboard layout made the main statistics easy to identify.,FR-11
2026-07-25,U127,First-year Student,HallPass Prototype,Understand HallPass homepage,Yes,4,5,,Main navigation,The homepage clearly explained HallPass and its purpose.,"FR-01, FR-02"
2026-07-25,U128,International Student,HallPass Prototype,Browse dormitory reviews,No,3,4,Back navigation,Dormitory review cards,"I opened the review details, but the back navigation was not immediately obvious.","FR-04, FR-06, FR-07"
2026-07-25,U129,Exchange Student,HallPass Prototype,Browse cafeteria reviews,Yes,5,4,,Review detail page,The ratings and descriptions were useful for choosing where to eat.,"FR-05, FR-06, FR-07"
2026-07-25,U130,International Student,HallPass Prototype,Create an account or sign in,Yes,3,4,,Signup form,I could create an account and access HallPass without assistance.,FR-03
2026-07-25,U131,First-year Student,HallPass Prototype,Submit a dormitory or cafeteria review,No,4,4,Review category,Write Review form,"The review was submitted, but the confirmation message should be more noticeable.","FR-08, FR-10, FR-14"
2026-07-25,U132,First-year Student,HallPass Prototype,Read the campus survival guide,Yes,4,4,,Campus survival guide,The guide topics were clear and easy to browse.,FR-09
2026-07-25,U133,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,5,4,Dashboard navigation,Review statistics,"The dashboard was useful, but the statistic labels should be clearer.",FR-11
2026-07-25,U134,First-year Student,HallPass Prototype,Understand HallPass homepage,Yes,4,5,,Homepage overview,The main features were easy to identify from the homepage.,"FR-01, FR-02"
2026-07-25,U135,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,3,4,,Review detail page,The rating and review details helped me understand the accommodation options.,"FR-04, FR-06, FR-07"
2026-07-25,U136,First-year Student,HallPass Prototype,Browse cafeteria reviews,Yes,5,4,Search label,Cafeteria review cards,The rating display could be separated more clearly from the review text.,"FR-05, FR-06, FR-07"
2026-07-25,U137,International Student,HallPass Prototype,Create an account or sign in,Yes,4,5,,Login form,I could create an account and access HallPass without assistance.,FR-03
2026-07-25,U138,International Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,5,5,,Write Review form,"The category, rating, and review fields were easy to complete.","FR-08, FR-10, FR-14"
2026-07-25,U139,First-year Student,HallPass Prototype,Read the campus survival guide,Yes,3,5,,Practical campus tips,The campus survival guide provided useful information for new students.,FR-09
2026-07-25,U140,Staff Administrator,HallPass Prototype,View the administrative dashboard,No,3,3,Moderation section,Dashboard summary,Returning from the dashboard to the main pages could be more obvious.,FR-11
2026-07-25,U141,Senior Student,HallPass Prototype,Understand HallPass homepage,No,3,4,Feature card wording,Feature cards,"The main purpose was clear, although the feature card wording could be shorter.","FR-01, FR-02"
2026-07-25,U142,International Student,HallPass Prototype,Browse dormitory reviews,Yes,5,3,Back navigation,Dormitory review cards,"I opened the review details, but the back navigation was not immediately obvious.","FR-04, FR-06, FR-07"
2026-07-25,U143,First-year Student,HallPass Prototype,Browse cafeteria reviews,Yes,4,4,,Search and filter,I could quickly find a cafeteria review and read the full details.,"FR-05, FR-06, FR-07"
2026-07-25,U144,First-year Student,HallPass Prototype,Create an account or sign in,Yes,5,5,,Signup form,The login page matched the design of the other HallPass pages.,FR-03
2026-07-25,U145,International Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,4,5,,Rating selection,The form requested only appropriate information and protected student privacy.,"FR-08, FR-10, FR-14"
2026-07-25,U146,First-year Student,HallPass Prototype,Read the campus survival guide,Yes,5,5,,Practical campus tips,The campus survival guide provided useful information for new students.,FR-09
2026-07-25,U147,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,4,4,,Moderation information,The dashboard clearly displayed review statistics and moderation information.,FR-11
2026-07-25,U148,First-year Student,HallPass Prototype,Understand HallPass homepage,No,3,3,Feature card wording,Main navigation,"The main purpose was clear, although the feature card wording could be shorter.","FR-01, FR-02"
2026-07-25,U149,International Student,HallPass Prototype,Browse dormitory reviews,Yes,4,5,,Review detail page,Dormitory reviews were easy to browse and compare.,"FR-04, FR-06, FR-07"
2026-07-25,U150,International Student,HallPass Prototype,Browse cafeteria reviews,No,3,3,Opening review details,Search and filter,"The search worked, although the filter wording should be more noticeable.","FR-05, FR-06, FR-07"
2026-07-26,U151,First-year Student,HallPass Prototype,Create an account or sign in,No,2,3,Password guidance,Signup form,The password guidance should be displayed more clearly.,FR-03
2026-07-26,U152,Senior Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,4,5,Review category,Rating selection,"The review was submitted, but the confirmation message should be more noticeable.","FR-08, FR-10, FR-14"
2026-07-26,U153,Exchange Student,HallPass Prototype,Read the campus survival guide,Yes,4,4,,Guide topic cards,The practical campus tips were relevant to first-year and international students.,FR-09
2026-07-26,U154,Staff Administrator,HallPass Prototype,View the administrative dashboard,Yes,4,5,,Review statistics,The administrative summary was easy to understand.,FR-11
2026-07-26,U155,First-year Student,HallPass Prototype,Understand HallPass homepage,Yes,3,5,Feature card wording,Main navigation,"The main purpose was clear, although the feature card wording could be shorter.","FR-01, FR-02"
2026-07-26,U156,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,4,3,,Review detail page,I could find and open a dormitory review without assistance.,"FR-04, FR-06, FR-07"
2026-07-26,U157,International Student,HallPass Prototype,Browse cafeteria reviews,Yes,4,4,,Review detail page,The cafeteria reviews made it easy to compare food options.,"FR-05, FR-06, FR-07"
2026-07-26,U158,International Student,HallPass Prototype,Create an account or sign in,Yes,4,4,,Authentication navigation,The simulated login and signup flow was simple to complete.,FR-03
2026-07-26,U159,Exchange Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,4,4,,Form validation,The form requested only appropriate information and protected student privacy.,"FR-08, FR-10, FR-14"
2026-07-26,U160,International Student,HallPass Prototype,Read the campus survival guide,Yes,4,4,,Guide topic cards,The practical campus tips were relevant to first-year and international students.,FR-09
2026-07-26,U161,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,3,4,,Review statistics,The dashboard layout made the main statistics easy to identify.,FR-11
2026-07-26,U162,First-year Student,HallPass Prototype,Understand HallPass homepage,Yes,3,5,,Feature cards,The homepage clearly explained HallPass and its purpose.,"FR-01, FR-02"
2026-07-26,U163,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,4,5,Opening review details,Dormitory review cards,"The dormitory reviews were useful, but the search label should be clearer.","FR-04, FR-06, FR-07"
